state,year,total_indiv_cont,total_incumbent_indiv_cont,median_total_indiv_cont,mean_total_indiv_cont,frac_incumbent_winners,state_name
AK,1996,774981,540484,430198.5,629090.870454545,1,Alaska
AK,1998,1172685,674910,383083,573086.487297921,1,Alaska
AK,2000,620696,620441,420774.5,702433.817659091,1,Alaska
AK,2002,1177239.14,1177239.14,464428.245,753990.880698198,1,Alaska
AK,2006,1236765.89,1049009.72,669742.55,1098381.40263636,1,Alaska
AK,2008,3286259.21,757445.67,753116.19,1216122.19519187,1,Alaska
AK,2010,888865.75,620188.18,956824.93,1534780.77484091,1,Alaska
AK,2012,654121.2,624494.86,1008022.83,1652480.13489614,1,Alaska
AL,1996,4609979,1315144,430198.5,629090.870454545,1,Alabama
AL,1998,3953351,2731445,383083,573086.487297921,1,Alabama
AL,2000,3370295,2525356,420774.5,702433.817659091,1,Alabama
AL,2002,7073693.72,1893847.23,464428.245,753990.880698198,0.8,Alabama
AL,2004,4784409.33,4416595.56,585217.875,908693.241486487,1,Alabama
AL,2006,3206980.31,3189869.31,669742.55,1098381.40263636,1,Alabama
AL,2008,7783676.49,2986441.46,753116.19,1216122.19519187,1,Alabama
AL,2010,8843128.91,3228347.57,956824.93,1534780.77484091,0.8,Alabama
AL,2012,4477830.78,4112220.98,1008022.83,1652480.13489614,1,Alabama
AR,1996,4074098,786240,430198.5,629090.870454545,1,Arkansas
AR,1998,2206160,1692485,383083,573086.487297921,1,Arkansas
AR,2000,5310799,3438440,420774.5,702433.817659091,0.75,Arkansas
AR,2002,5315823.15,2121330.33,464428.245,753990.880698198,1,Arkansas
AR,2004,2797594.16,2004445.41,585217.875,908693.241486487,1,Arkansas
AR,2006,2091942.79,1839433.99,669742.55,1098381.40263636,1,Arkansas
AR,2008,1202435.55,1196937.55,753116.19,1216122.19519187,1,Arkansas
AR,2010,8342076.9,1165409.67,956824.93,1534780.77484091,1,Arkansas
AR,2012,5474509.24,2326618.32,1008022.83,1652480.13489614,1,Arkansas
AS,1996,48505,33035,430198.5,629090.870454545,1,American Samoa
AS,1998,17361,17361,383083,573086.487297921,1,American Samoa
AS,2000,71299,48536,420774.5,702433.817659091,1,American Samoa
AS,2002,96465,69726,464428.245,753990.880698198,1,American Samoa
AS,2004,128323.51,92113.51,585217.875,908693.241486487,1,American Samoa
AS,2006,29540,16550,669742.55,1098381.40263636,1,American Samoa
AS,2008,201509.77,101520,753116.19,1216122.19519187,1,American Samoa
AS,2010,104355.2,54010,956824.93,1534780.77484091,1,American Samoa
