state_name,total_indiv_cont
Alabama,48103344.54
Alaska,9811613.19
American Samoa,809395.88
Arizona,96115545.22
Arkansas,36815438.79
California,389153080.76
Colorado,84805835.32
Connecticut,77270927.61
Delaware,4589423.32
District of Columbia,1420229.85
Florida,240508881.5
Georgia,119065788.89
Guam,1419639.51
Hawaii,23393083.86
Idaho,13824982.51
Illinois,205213019.24
Indiana,82056313.01
Iowa,48754568.9
Kansas,41655203.15
Kentucky,61496247.71
Louisiana,72893202.92
Maine,19165789.01
Maryland,65882547.54
Massachusetts,89399185.34
Michigan,106358538.06
Minnesota,111941831.17
Mississippi,27664641.13
Missouri,76829905.14
Montana,5777404.13
Nebraska,19311561.31
Nevada,46071819.82
New Hampshire,28879377.56
New Jersey,120034645.26
New Mexico,44520163.7
New York,266402884.57
North Carolina,88038885.31
North Dakota,9900333.17
Northern Mariana Islands,267290.7
Ohio,147576503.75
Oklahoma,46695696.02
Oregon,42466280.51
Pennsylvania,172842871.08
Puerto Rico,4323939
Rhode Island,24043505.99
South Carolina,38072129.68
South Dakota,10950358.66
Tennessee,52765582.64
Texas,200652841.7
Utah,13451617.67
Vermont,5545076.73
Virgin Islands,828406.6
Virginia,85078602.22
Washington,74411985.36
West Virginia,18201929.79
Wisconsin,50618273.2
Wyoming,3673767.99
